,time,pedestrians,bicyclists,cars,buses,trucks,weekday,month,YYYYMMDD,Average_windspeed,Average_temperature,Amount_sunshine,Length_raintime,Amount_rain,Average_humidity,event
0,2019-02-14,118425,40355,43483,4474,2358,3,2,20190214,18,47,85,0,0,74,valentine_day
1,2019-04-05,140685,60710,51855,5159,2793,4,4,20190405,31,74,72,0,0,80,remembrance_day
2,2019-04-10,101692,48920,40509,4905,2393,2,4,20190410,54,69,125,0,0,58,animal_day
3,2019-04-19,182886,62326,54122,4773,2897,4,4,20190419,35,165,128,0,0,46,easter
4,2019-04-21,89152,24972,38542,1604,706,6,4,20190421,25,159,128,0,0,45,easter
5,2019-04-22,146259,43941,42386,1951,1341,0,4,20190422,53,176,122,0,0,41,easter
6,2019-04-27,179019,35996,42573,2943,1317,5,4,20190427,47,98,31,22,35,77,king
7,2019-05-05,117441,34461,41231,1839,1459,6,5,20190505,30,64,50,5,4,74,freedom
8,2019-05-12,157910,36147,43535,4014,1010,6,5,20190512,27,94,93,0,-1,65,sinterklaas
9,2019-05-30,244474,58146,50652,4111,1321,3,5,20190530,50,173,9,4,1,74,ascension
10,2019-06-01,319827,70200,55713,7701,4658,5,6,20190601,20,197,131,0,0,68,three_kings
11,2019-06-16,188533,44021,45228,4144,1414,6,6,20190616,29,169,98,0,0,77,fathers_day
12,2019-09-06,286628,116177,55613,9548,3758,4,9,20190906,47,137,71,0,0,68,pentecost
13,2019-09-17,215561,105771,53529,4522,5125,1,9,20190917,28,125,44,0,0,74,prince_day
14,2019-10-06,101001,18815,48049,1675,1655,6,10,20191006,52,89,0,87,154,90,pentecost
15,2019-10-31,206514,80125,58805,4766,4462,3,10,20191031,32,30,82,0,0,83,halloween
16,2019-11-11,129367,40180,50414,3754,3425,0,11,20191111,52,50,20,26,14,88,st_martin
17,2019-11-29,295902,87379,67378,4263,4765,4,11,20191129,23,48,33,0,0,80,black_friday
18,2019-12-05,195318,62203,53441,3543,3237,3,12,20191205,45,16,0,0,0,96,mothers_day
19,2019-12-25,47777,8901,28428,1093,504,2,12,20191225,30,75,9,9,14,91,christmas
20,2019-12-26,103316,15998,36750,1527,1025,3,12,20191226,25,55,0,25,23,93,christmas
21,2019-12-31,174420,42301,46562,3032,2644,1,12,20191231,20,29,0,0,-1,95,old_year
22,2020-01-01,72539,14581,24816,1035,720,2,1,20200101,20,-6,28,0,0,98,new_year
23,2020-01-06,149624,42618,41238,3369,2627,0,1,20200106,40,55,45,9,10,82,pentecost
24,2020-02-14,251561,81838,61729,5145,3487,4,2,20200214,40,70,20,8,5,81,valentine_day
25,2020-04-05,52231,23348,23692,1636,647,6,4,20200405,45,128,122,0,0,45,remembrance_day
26,2020-04-10,78113,33947,32196,3052,2255,4,4,20200410,33,117,124,0,0,58,animal_day
27,2020-04-13,57826,18792,25735,1802,642,0,4,20200413,47,80,80,0,-1,56,easter
28,2020-04-27,87140,42357,29211,1852,1179,0,4,20200427,22,139,126,0,0,56,king
29,2020-05-05,111875,44386,30857,2370,1787,1,5,20200505,36,97,138,0,0,58,freedom
30,2020-05-12,121592,51776,40354,3834,2930,1,5,20200512,20,75,68,0,0,62,sinterklaas
31,2020-05-21,133791,61578,35549,2348,1680,3,5,20200521,18,198,143,0,0,59,ascension
32,2020-05-31,100159,40987,35259,2004,1085,6,5,20200531,46,166,145,0,0,48,pentecost
33,2020-06-01,191837,75274,44573,2451,1563,0,6,20200601,32,189,146,0,0,46,three_kings
34,2020-06-21,167411,61474,41424,2462,1002,6,6,20200621,37,196,72,8,2,66,fathers_day
35,2020-09-15,139289,74961,41496,5309,3223,1,9,20200915,13,229,101,0,0,60,prince_day
36,2020-10-04,163566,42416,49892,3242,1632,6,10,20201004,58,120,41,8,6,77,easter
